"field","label","description","temporal","category","subcategory","identifier"
"8454-1","Diastolic blood pressure--standing","Diastolic blood pressure--standing","1","Vital Signs",,"0"
"8455-8","Diastolic blood pressure--supine","Diastolic blood pressure--supine","1","Vital Signs",,"0"
"8357-6","Blood pressure method","Blood pressure method","1","Vital Signs",,"0"
"41904-4","Blood pressure measurement site","Blood pressure measurement site","1","Vital Signs",,"0"
"72076-3","Blood pressure home reading","Blood pressure home reading","1","Vital Signs",,"0"
"35094-2","Blood pressure panel","Blood pressure panel","1","Vital Signs",,"0"
"43152-8","Blood pressure device panel","Blood pressure device panel","1","Vital Signs",,"0"
"55284-4","Blood pressure systolic and diastolic","Blood pressure systolic and diastolic","1","Vital Signs",,"0"
"39156-5","Body mass index (BMI) [Ratio]","Body mass index (BMI) [Ratio]","1","Vital Signs",,"0"
"76539-6","Blood pressure device Cuff pressure.diastolic","Blood pressure device Cuff pressure.diastolic","1","Vital Signs",,"0"
"76538-8","Blood pressure device Cuff pressure.systolic","Blood pressure device Cuff pressure.systolic","1","Vital Signs",,"0"
"8514-2","Brachial artery - left Diastolic blood pressure","Brachial artery - left Diastolic blood pressure","1","Vital Signs",,"0"
"8546-4","Brachial artery - left Systolic blood pressure","Brachial artery - left Systolic blood pressure","1","Vital Signs",,"0"
"8515-9","Brachial artery - right Diastolic blood pressure","Brachial artery - right Diastolic blood pressure","1","Vital Signs",,"0"
"8547-2","Brachial artery - right Systolic blood pressure","Brachial artery - right Systolic blood pressure","1","Vital Signs",,"0"
"61008-9","Body surface temperature","Body surface temperature","1","Vital Signs","Body temperature|Temp|Pt|<Chal:None>","0"
"8335-2","Body weight Estimated","Body weight Estimated","1","Vital Signs","Body weight|Mass|Pt|^Patient","0"
"8348-5","Body weight Measured --pre pregnancy","Body weight Measured --pre pregnancy","1","Vital Signs","Body weight|Mass|Pt|^Patient","0"
"33438-3","Breath rate mechanical --on ventilator","Breath rate mechanical --on ventilator","1","Vital Signs","Breaths|NRat|Pt|<Chal:None>","0"
"19840-8","Breath rate spontaneous and mechanical --on ventilator","Breath rate spontaneous and mechanical --on ventilator","1","Vital Signs","Breaths|NRat|Pt|<Chal:None>","0"
"19839-0","Breath rate spontaneous --on ventilator","Breath rate spontaneous --on ventilator","1","Vital Signs","Breaths|NRat|Pt|<Chal:None>","0"
"55283-6","Fetal Heart rate","Fetal Heart rate","1","Vital Signs","Heart rate|NRat|Pt|<Chal:None>","0"
"69000-8","Heart rate --sitting","Heart rate --sitting","1","Vital Signs","Heart rate|NRat|Pt|<Chal:None>","0"
"69001-6","Heart rate --standing","Heart rate --standing","1","Vital Signs","Heart rate|NRat|Pt|<Chal:None>","0"
"68999-2","Heart rate --supine","Heart rate --supine","1","Vital Signs","Heart rate|NRat|Pt|<Chal:None>","0"
"40441-8","Respiratory rate --post exercise","Respiratory rate --post exercise","1","Vital Signs","Breaths|NRat|Pt|<Chal:None>","0"
"9298-1","Respiratory rate --post inhalation therapy","Respiratory rate --post inhalation therapy","1","Vital Signs","Breaths|NRat|Pt|<Chal:None>","0"
"9302-1","Respiratory rate --pre inhalation therapy","Respiratory rate --pre inhalation therapy","1","Vital Signs","Breaths|NRat|Pt|<Chal:None>","0"
"9303-9","Respiratory rate --resting","Respiratory rate --resting","1","Vital Signs","Breaths|NRat|Pt|<Chal:None>","0"
"76282-3","Heart rate.beat-to-beat by EKG","Instantaneous heart rate, may be averaged over a few beats.","1","Vital Signs",,"0"
"31019-3","10-HYDROXYCARBAZEPINE [MASS/VOLUME] IN SERUM OR PLASMA","10-Hydroxycarbazepine [Mass/volume] in Serum or Plasma","1","Laboratory","10-Hydroxycarbazepine|MCnc|Pt|ANYBldSerPlas","0"
"41404-5","17-HYDROXYCORTICOSTEROIDS/CREATININE [MASS RATIO] IN 24 HOUR URINE","17-Hydroxycorticosteroids/Creatinine [Mass Ratio] in 24 hour Urine","1","Laboratory","17-Hydroxycorticosteroids/Creatinine|MRto|Urine","0"
"1668-3","17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma","17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma","1","Laboratory","17-Hydroxyprogesterone|MCnc|Pt|ANYBldSerPlas","0"
"28606-2","1-METHYLHISTIDINE/CREATININE [RATIO] IN URINE","1-Methylhistidine/Creatinine [Ratio] in Urine","1","Laboratory","1-Methylhistidine/Creatinine|Ratio|Urine","0"
"25853-3","1-METHYLHISTIDINE","1-Methylhistidine [Moles/volume] in 24 hour Urine","1","Laboratory","1-Methylhistidine|SCnc|Urine","0"
"27044-7","1-METHYLHISTIDINE [MOLES/VOLUME] IN URINE","1-Methylhistidine [Moles/volume] in Urine","1","Laboratory","1-Methylhistidine|SCnc|Urine","0"
"62292-8","25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma","25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma","1","Laboratory","25-Hydroxyvitamin D2+25-Hydroxyvitamin D3|MCnc|Pt|ANYBldSerPlas","0"
"41859-0","2-ETHYLIDENE-1,5-DIMETHYL-3,3-DIPHENYLPYRROLIDINE (EDDP) [PRESENCE] IN UNSPECIFIED SPECIMEN","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Unspecified specimen","1","Laboratory","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"30234-9","3-OH-HEXADECANOYLCARNITINE,C16","3-Hydroxypalmitoylcarnitine (C16-OH) [Moles/volume] in Serum or Plasma","1","Laboratory","3-Hydroxypalmitoylcarnitine (C16-OH)|SCnc|Pt|ANYBldSerPlas","0"
"28594-0","3-METHYLHISTIDINE/CREATININE [RATIO] IN URINE","3-Methylhistidine/Creatinine [Ratio] in Urine","1","Laboratory","3-Methylhistidine/Creatinine|Ratio|Urine","0"
"25856-6","3-METHYLHISTIDINE","3-Methylhistidine [Moles/volume] in 24 hour Urine","1","Laboratory","3-Methylhistidine|SCnc|Urine","0"
"27046-2","Ur 3 Methylhistidine","3-Methylhistidine [Moles/volume] in Urine","1","Laboratory","3-Methylhistidine|SCnc|Urine","0"
"44288-9","5-HYDROXYINDOLEACETATE/CREATININE [MASS RATIO] IN 24 HOUR URINE","5-Hydroxyindoleacetate/Creatinine [Mass Ratio] in 24 hour Urine","1","Laboratory","5-Hydroxyindoleacetate/Creatinine|MRto|Urine","0"
"31203-3","5-HYDROXYINDOLEACETATE [MASS/VOLUME] IN 24 HOUR URINE","5-Hydroxyindoleacetate [Mass/volume] in 24 hour Urine","1","Laboratory","5-Hydroxyindoleacetate|MCnc|Urine","0"
"32099-4","6-MONOACETYLMORPHINE (6-MAM) [PRESENCE] IN UNSPECIFIED SPECIMEN","6-Monoacetylmorphine (6-MAM) [Presence] in Unspecified specimen","1","Laboratory","6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"51776-3","7-NH-CLONAZEPAM-BY GC/MS","7-Aminoclonazepam [Mass/volume] in Urine by Confirmatory method","1","Laboratory","7-Aminoclonazepam|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"61031-1","7-AMINOCLONAZEPAM [PRESENCE] IN UNSPECIFIED SPECIMEN","7-Aminoclonazepam [Presence] in Unspecified specimen","1","Laboratory","7-Aminoclonazepam|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"61030-3","Clonazepam/met","7-Aminoclonazepam [Presence] in Urine","1","Laboratory","7-Aminoclonazepam|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"58365-8","7-AMINOCLONAZEPAM [PRESENCE] IN URINE BY CONFIRMATORY METHOD","7-Aminoclonazepam [Presence] in Urine by Confirmatory method","1","Laboratory","7-Aminoclonazepam|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"21046-8","7-AMINOFLUNITRAZEPAM [MASS/VOLUME] IN SERUM OR PLASMA","7-Aminoflunitrazepam [Mass/volume] in Serum or Plasma","1","Laboratory","7-Aminoflunitrazepam|MCnc|Pt|ANYBldSerPlas","0"
"9383-1","9-HYDROXYRISPERIDONE [MASS/VOLUME] IN SERUM OR PLASMA","9-Hydroxyrisperidone [Mass/volume] in Serum or Plasma","1","Laboratory","9-Hydroxyrisperidone|MCnc|Pt|ANYBldSerPlas","0"
"1701-2","ACETALDEHYDE","Acetaldehyde [Mass/volume] in Serum or Plasma","1","Laboratory","Acetaldehyde|MCnc|Pt|ANYBldSerPlas","0"
"3298-7","Acetaminophen [Mass/volume] in Serum or Plasma","Acetaminophen Level, Raw Pending Repeat","1","Laboratory","Other Labs","0"
"13622-6","ACETAMINOPHEN [MASS/VOLUME] IN URINE","Acetaminophen [Mass/volume] in Urine","1","Laboratory","Acetaminophen|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"3299-5","ACETAMINOPHEN [PRESENCE] IN URINE","Acetaminophen [Presence] in Urine","1","Laboratory","Acetaminophen|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"35867-1","ACETOACETATE [MOLES/VOLUME] IN SERUM OR PLASMA","Acetoacetate [Moles/volume] in Serum or Plasma","1","Laboratory","Acetoacetate|SCnc|Pt|ANYBldSerPlas","0"
"5568-1","ACETONE [MASS/VOLUME] IN SERUM OR PLASMA","Acetone [Mass/volume] in Serum or Plasma","1","Laboratory","Acetone|MCnc|Pt|ANYBldSerPlas","0"
"1715-2","Acid phosphatase [Enzymatic activity/volume] in Serum or Plasma","Acid phosphatase [Enzymatic activity/volume] in Serum or Plasma","1","Laboratory","Acid phosphatase|CCnc|Pt|ANYBldSerPlas","0"
"46252-3","ACYLCARNINTINES","Acylcarnitine pattern [Interpretation] in Serum or Plasma","1","Laboratory","Acylcarnitine pattern|Imp|Pt|ANYBldSerPlas","0"
"82160-3","Adenovirus RPP (Result)","Adenovirus DNA [Presence] in Nasopharynx by Target amplification with non-probe based detection","1","Laboratory","Adenovirus DNA|PrThr|<Sys:ANYResp>","0"
"1742-6","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma","ECLRS Reportable, Alanine Aminotransferase (ALT)","1","Laboratory","Other Labs","0"
"1743-4","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P","1","Laboratory","Alanine aminotransferase|CCnc|Pt|ANYBldSerPlas","0"
"30068-1","ALANINE/CREATININE [RATIO] IN URINE","Alanine/Creatinine [Ratio] in Urine","1","Laboratory","Alanine/Creatinine|Ratio|Urine","0"
"25843-4","ALANINE","Alanine [Moles/volume] in 24 hour Urine","1","Laboratory","Alanine|SCnc|Urine","0"
"27326-8","Ur Alanine","Alanine [Moles/volume] in Urine","1","Laboratory","Alanine|SCnc|Urine","0"
"9318-7","Microalb/Creat Ratio","Urine, Microalbumin/Creatinine Ratio","1","Laboratory","Other Labs","0"
"1751-7","Albumin [Mass/volume] in Serum or Plasma","Albumin, Raw Pending Repeat","1","Laboratory","Other Labs","0"
"2862-1","Albumin [Mass/volume] in Serum or Plasma by Electrophoresis","Albumin","1","Laboratory","Other Labs","0"
"1754-1","Albumin [Mass/volume] in Urine","Urine, Microalbumin, Raw Pending Repeat","1","Laboratory","Other Labs","0"
"6942-7","ALBUMIN [MASS/VOLUME] IN URINE BY ELECTROPHORESIS","Albumin [Mass/volume] in Urine by Electrophoresis","1","Laboratory","Albumin|MCnc|Urine","0"
"1753-3","ALBUMIN [PRESENCE] IN URINE","Albumin [Presence] in Urine","1","Laboratory","Albumin|PrThr|Urine","0"
"1761-6","Aldolase [Enzymatic activity/volume] in Serum or Plasma","Aldolase [Enzymatic activity/volume] in Serum or Plasma","1","Laboratory","Aldolase|CCnc|Pt|ANYBldSerPlas","0"
"44295-4","ALDOSTERONE/CREATININE [MASS RATIO] IN 24 HOUR URINE","Aldosterone/Creatinine [Mass Ratio] in 24 hour Urine","1","Laboratory","Aldosterone/Creatinine|MRto|Urine","0"
"1763-2","Aldosterone [Mass/volume] in Serum or Plasma","Aldosterone [Mass/volume] in Serum or Plasma","1","Laboratory","Aldosterone|MCnc|Pt|ANYBldSerPlas","0"
"1764-0","ALDOSTERONE [MASS/VOLUME] IN URINE","Aldosterone [Mass/volume] in Urine","1","Laboratory","Aldosterone|MCnc|Urine","0"
"16182-8","ALKALINE PHOSPHATASE ISOENZYMES [ENZYMATIC ACTIVITY/VOLUME] IN SERUM OR PLASMA BY HEAT STABILITY","Alkaline phosphatase isoenzymes [Enzymatic activity/volume] in Serum or Plasma by Heat stability","1","Laboratory","Alkaline phosphatase isoenzymes|CCnc|Pt|ANYBldSerPlas","0"
"49243-9","ALKALINE PHOSPHATASE","Alkaline phosphatase isoenzymes [Interpretation] in Serum or Plasma Narrative","1","Laboratory","Alkaline phosphatase isoenzymes|Imp|Pt|ANYBldSerPlas","0"
"1779-8","ALKALINE PHOSPHATASE.LIVER [ENZYMATIC ACTIVITY/VOLUME] IN SERUM OR PLASMA","Alkaline phosphatase.liver [Enzymatic activity/volume] in Serum or Plasma","1","Laboratory","Alkaline phosphatase.liver|CCnc|Pt|ANYBldSerPlas","0"
"6768-6","Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma","Alkaline Phosphatase, Raw Data","1","Laboratory","Other Labs","0"
"32769-2","ALPHA 1 ANTITRYPSIN PHENOTYPING [INTERPRETATION] IN SERUM OR PLASMA","Alpha 1 antitrypsin phenotyping [Interpretation] in Serum or Plasma","1","Laboratory","Alpha 1 antitrypsin phenotyping|Imp|Pt|ANYBldSerPlas","0"
"49244-7","A1AT Proteotype","Alpha 1 antitrypsin phenotyping [Interpretation] in Serum or Plasma Narrative","1","Laboratory","Alpha 1 antitrypsin phenotyping|Imp|Pt|ANYBldSerPlas","0"
"1825-9","Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma","Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma","1","Laboratory","Alpha 1 antitrypsin|MCnc|Pt|ANYBldSerPlas","0"
"6771-0","A-1 Antitrypsin","Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma by Nephelometry","1","Laboratory","Alpha 1 antitrypsin|MCnc|Pt|ANYBldSerPlas","0"
"9734-5","ALPHA 1 GLOBULIN [MASS/VOLUME] IN URINE BY ELECTROPHORESIS","Alpha 1 globulin [Mass/volume] in Urine by Electrophoresis","1","Laboratory","Alpha 1 globulin|MCnc|Urine","0"
"38190-5","ALPHA 2 GLOBULIN [MASS/VOLUME] IN URINE BY ELECTROPHORESIS","Alpha 2 globulin [Mass/volume] in Urine by Electrophoresis","1","Laboratory","Alpha 2 globulin|MCnc|Urine","0"
"28598-1","ALPHA AMINOADIPATE/CREATININE [RATIO] IN URINE","Alpha aminoadipate/Creatinine [Ratio] in Urine","1","Laboratory","Alpha aminoadipate/Creatinine|Ratio|Urine","0"
"25846-7","A-AMINOADIPIC ACID","Alpha aminoadipate [Moles/volume] in 24 hour Urine","1","Laboratory","Alpha aminoadipate|SCnc|Urine","0"
"26725-2","Ur Aminoadipic Acid","Alpha aminoadipate [Moles/volume] in Urine","1","Laboratory","Alpha aminoadipate|SCnc|Urine","0"
"28590-8","ALPHA AMINOBUTYRATE/CREATININE [RATIO] IN URINE","Alpha aminobutyrate/Creatinine [Ratio] in Urine","1","Laboratory","Alpha aminobutyrate/Creatinine|Ratio|Urine","0"
"25848-3","A-AMINO-N-BUTYRATE","Alpha aminobutyrate [Moles/volume] in 24 hour Urine","1","Laboratory","Alpha aminobutyrate|SCnc|Urine","0"
"1834-1","Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma","Alpha-Fetoprotein (AFP)","1","Laboratory","Other Labs","0"
"5574-9","ALUMINUM [MASS/VOLUME] IN SERUM OR PLASMA","Aluminum [Mass/volume] in Serum or Plasma","1","Laboratory","Aluminum|MCnc|Pt|ANYBldSerPlas","0"
"49247-0","AMINO ACID SCRN,SERU","Amino acid pattern [Interpretation] in Serum or Plasma Narrative","1","Laboratory","Amino acid pattern|Imp|Pt|ANYBldSerPlas","0"
"3330-8","AMIODARONE [MASS/VOLUME] IN SERUM OR PLASMA","Amiodarone [Mass/volume] in Serum or Plasma","1","Laboratory","Amiodarone|MCnc|Pt|ANYBldSerPlas","0"
"3333-2","AMITRIPTYLINE [MASS/VOLUME] IN SERUM OR PLASMA","Amitriptyline [Mass/volume] in Serum or Plasma","1","Laboratory","Amitriptyline|MCnc|Pt|ANYBldSerPlas","0"
"16362-6","Ammonia [Moles/volume] in Plasma","Ammonia, Raw Pending Repeat","1","Laboratory","Other Labs","0"
"42576-9","AMPHETAMINE","Amphetamine [Mass/volume] in Blood by Confirmatory method","1","Laboratory","Amphetamine|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"19344-1","AMPHETAMINE [PRESENCE] IN URINE BY CONFIRMATORY METHOD","Amphetamine [Presence] in Urine by Confirmatory method","1","Laboratory","Amphetamine|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"19343-3","Amphetamine [Presence] in Urine by Screen method","Amphetamine [Presence] in Urine by Screen method","1","Laboratory","Amphetamine|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"26895-3","AMPHETAMINES [MASS/MASS] IN MECONIUM","Amphetamines [Mass/mass] in Meconium","1","Laboratory","Amphetamines|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"43934-9","AMPH CONF,MECONIUM","Amphetamines [Mass/mass] in Meconium by Confirmatory method","1","Laboratory","Amphetamines|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"70138-3","AMPHETAMINES [MASS/VOLUME] IN URINE BY SCREEN METHOD","Amphetamines [Mass/volume] in Urine by Screen method","1","Laboratory","Amphetamines|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"8146-3","AMPHETAMINES [PRESENCE] IN MECONIUM BY SCREEN METHOD","Amphetamines [Presence] in Meconium by Screen method","1","Laboratory","Amphetamines|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"29530-3","AMPHETAMINES [PRESENCE] IN UNSPECIFIED SPECIMEN","Amphetamines [Presence] in Unspecified specimen","1","Laboratory","Amphetamines|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"3349-8","Amphetamines [Presence] in Urine","Urine, Amphetamines Screen, Raw Pending Repeat","1","Laboratory","Other Labs","0"
"19261-7","AMPHETAMINES UR","Amphetamines [Presence] in Urine by Screen method","1","Laboratory","Amphetamines|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"1798-8","Amylase [Enzymatic activity/volume] in Serum or Plasma","Amylase, Raw Pending Repeat","1","Laboratory","Other Labs","0"
"25311-2","Ur Amylase","Amylase [Enzymatic activity/volume] in 24 hour Urine","1","Laboratory","Amylase|CCnc|Urine","0"
"1799-6","Amylase [Enzymatic activity/volume] in Urine","Urine, Amylase","1","Laboratory","Other Labs","0"
"1800-2","AMYLASE,U,24 HR","Amylase [Enzymatic activity/time] in 24 hour Urine","1","Laboratory","Amylase|CRat|Urine","0"
"1848-1","ANDROSTANOLONE [MASS/VOLUME] IN SERUM OR PLASMA","Androstanolone [Mass/volume] in Serum or Plasma","1","Laboratory","Androstanolone|MCnc|Pt|ANYBldSerPlas","0"
"1854-9","ANDROSTENEDIONE [MASS/VOLUME] IN SERUM OR PLASMA","Androstenedione [Mass/volume] in Serum or Plasma","1","Laboratory","Androstenedione|MCnc|Pt|ANYBldSerPlas","0"
"2742-5","Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma","Angiotensin-1-Converting Enzyme (ACE), Raw Data","1","Laboratory","Other Labs","0"
"41276-7","Anion Gap","Anion gap in Blood","1","Laboratory","Anion gap|SCnc|Pt|ANYBldSerPlas","0"
"28596-5","ANSERINE","Anserine/Creatinine [Ratio] in Urine","1","Laboratory","Anserine/Creatinine|Ratio|Urine","0"
"25858-2","SERINE","Anserine [Moles/volume] in 24 hour Urine","1","Laboratory","Anserine|SCnc|Urine","0"
"32136-4","ANTIDEPRESSANTS UR","Antidepressants [Presence] in Urine","1","Laboratory","Antidepressants|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"1884-6","Apolipoprotein B [Mass/volume] in Serum or Plasma","Apolipoprotein B","1","Laboratory","Other Labs","0"
"43638-6","NMO-IgG - Aquaporin 4 receptor IgG Ab [Presence] in Serum or Plasma","Aquaporin 4 receptor IgG Ab [Presence] in Serum or Plasma","1","Laboratory","Aquaporin 4 receptor Ab.IgG|PrThr|Pt|ANYBldSerPl","0"
"30062-4","ARGININE/CREATININE [RATIO] IN URINE","Arginine/Creatinine [Ratio] in Urine","1","Laboratory","Arginine/Creatinine|Ratio|Urine","0"
"25860-8","ARGININE","Arginine [Moles/volume] in 24 hour Urine","1","Laboratory","Arginine|SCnc|Urine","0"
"27296-3","Ur Arginine","Arginine [Moles/volume] in Urine","1","Laboratory","Arginine|SCnc|Urine","0"
"5583-0","ARSENIC [MASS/VOLUME] IN BLOOD","Arsenic [Mass/volume] in Blood","1","Laboratory","Arsenic|MCnc|Pt|ANYBldSerPlas","0"
"1903-4","ASCORBATE [MASS/VOLUME] IN SERUM OR PLASMA","Ascorbate [Mass/volume] in Serum or Plasma","1","Laboratory","Ascorbate|MCnc|Pt|ANYBldSerPlas","0"
"44738-3","IgG ASIALO GM1","Asialoganglioside GM1 IgG Ab [Presence] in Serum","1","Laboratory","Asialoganglioside GM1 Ab.IgG|PrThr|Pt|ANYBldSerPlas","0"
"30200-0","IgM ASIALO GM1","Asialoganglioside GM1 IgM Ab [Presence] in Serum","1","Laboratory","Asialoganglioside GM1 Ab.IgM|PrThr|Pt|ANYBldSerPlas","0"
"28603-9","ASPARAGINE/CREATININE [RATIO] IN URINE","Asparagine/Creatinine [Ratio] in Urine","1","Laboratory","Asparagine/Creatinine|Ratio|Urine","0"
"25862-4","ASPARAGINE","Asparagine [Moles/volume] in 24 hour Urine","1","Laboratory","Asparagine|SCnc|Urine","0"
"27317-7","Ur Asparagine","Asparagine [Moles/volume] in Urine","1","Laboratory","Asparagine|SCnc|Urine","0"
"1920-8","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma","Aspartate Aminotransferase (AST), Raw Pending Repeat","1","Laboratory","Other Labs","0"
"30239-8","AST (SGOT) P5P","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P","1","Laboratory","Aspartate aminotransferase|CCnc|Pt|ANYBldSerPlas","0"
"30061-6","ASPARTATE/CREATININE [RATIO] IN URINE","Aspartate/Creatinine [Ratio] in Urine","1","Laboratory","Aspartate/Creatinine|Ratio|Urine","0"
"20639-1","ASPARTATE [MOLES/VOLUME] IN SERUM OR PLASMA","Aspartate [Moles/volume] in Serum or Plasma","1","Laboratory","Aspartate|SCnc|Pt|ANYBldSerPlas","0"
"26680-9","Ur Aspartic Acid","Aspartate [Moles/volume] in Urine","1","Laboratory","Aspartate|SCnc|Urine","0"
"6460-0","Bacteria identified in Sputum by Culture","Bacteria identified in Sputum by Culture","1","Laboratory","Bacteria identified|Prid|<Sys:ANYResp>","0"
"624-7","Bacteria identified in Sputum by Respiratory culture","Bacteria identified in Sputum by Respiratory culture","1","Laboratory","Bacteria identified|Prid|<Sys:ANYResp>","0"
"626-2","Bacteria identified in Throat by Culture","Throat, Beta Strep Culture","1","Laboratory","Other Labs","0"
"630-4","Bacteria identified in Urine by Culture","Urine, Bacteriology Culture","1","Laboratory","Other Labs","0"
